# scan = 243
# date = 11/10/2003
# time = 7:54:26 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# builtin_command = scan h 0 k 0 l 1.94 2.06 .005 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 field dependence: base Temp, H = 0 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1    -0.0000     0.0000     1.9400      1.838      1.000   7400.000      2.000    41.2537   -34.2156   -73.1810    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.1688    14.6405    14.6385     0.0020   295.0000     4.2626     8.287
      2    -0.0000     0.0000     1.9450      1.884      0.000   7400.000      2.000    41.2537   -34.3248   -73.3995    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.1770    14.6405    14.6385     0.0020   295.0000     4.2626     8.287
      3    -0.0000    -0.0000     1.9500      1.867      3.000   7400.000      2.000    41.2537   -34.4350   -73.6190    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.1851    14.6405    14.6385     0.0020   295.0000     4.2664     8.287
      4    -0.0000     0.0000     1.9550      1.835      0.000   7400.000      2.000    41.2537   -34.5453   -73.8404    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.1933    14.6405    14.6385     0.0020   295.0000     4.2664     8.277
      5    -0.0001    -0.0000     1.9600      1.846      1.000   7400.000      2.000    41.2537   -34.6555   -74.0589    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2014    14.6405    14.6385     0.0020   295.0000     4.2664     8.277
      6     0.0000     0.0000     1.9650      1.826      1.000   7400.000      2.000    41.2537   -34.7648   -74.2814    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2097    14.6405    14.6385     0.0020   295.0000     4.2627     8.228
      7     0.0000     0.0000     1.9700      1.849      1.000   7400.000      2.000    41.2537   -34.8750   -74.5009    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2178    14.6405    14.6385     0.0020   295.0000     4.2627     8.228
      8     0.0000     0.0000     1.9750      1.862      6.000   7400.000      2.000    41.2537   -34.9862   -74.7233    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2260    14.6405    14.6385     0.0020   295.0000     4.2675     8.223
      9    -0.0000     0.0000     1.9800      1.893     36.000   7400.000      2.000    41.2537   -35.0965   -74.9428    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2341    14.6405    14.6385     0.0020   295.0000     4.2675     8.223
     10     0.0000     0.0001     1.9850      1.885    139.000   7400.000      2.000    41.2537   -35.2067   -75.1672    -0.0975     1.9545     1.0040    -3.9990    20.6266    41.2566     3.2423    14.6405    14.6385     0.0020   295.0000     4.2675     8.223
