# scan = 333
# date = 11/11/2003
# time = 3:09:43 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.95 2.05 .005 k 1.95 2.05 .005 l 1.95 2.05 .005 preset mcu 10
# builtin_command = scan h 1.95 2.05 .005 k 1.95 2.05 .005 l 1.95 2.05 .005 preset mcu 10
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 field dependence: base Temp, H = 0 T down
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9500     1.9504     1.9499      9.284      2.000  37000.000     10.000    41.2537   -10.8789  -117.5678    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.5463    14.6405    14.6385     0.0020   295.0000     4.2318     4.262
      2     1.9548     1.9551     1.9550      9.163      2.000  37000.000     10.000    41.2537   -11.1240  -118.0461    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.5578    14.6405    14.6385     0.0020   295.0000     4.2272     4.259
      3     1.9598     1.9602     1.9600      9.317      2.000  37000.000     10.000    41.2537   -11.3681  -118.5383    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.5695    14.6405    14.6385     0.0020   295.0000     4.2246     4.260
      4     1.9648     1.9652     1.9650      9.264      6.000  37000.000     10.000    41.2537   -11.6161  -119.0314    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.5812    14.6405    14.6385     0.0020   295.0000     4.2274     4.259
      5     1.9698     1.9702     1.9700      9.276      6.000  37000.000     10.000    41.2537   -11.8632  -119.5274    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.5928    14.6405    14.6385     0.0020   295.0000     4.2281     4.263
      6     1.9749     1.9752     1.9750      9.282      4.000  37000.000     10.000    41.2537   -12.1132  -120.0294    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.6045    14.6405    14.6385     0.0020   295.0000     4.2269     4.260
      7     1.9798     1.9802     1.9800      9.259     11.000  37000.000     10.000    41.2537   -12.3671  -120.5343    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.6161    14.6405    14.6385     0.0020   295.0000     4.2288     4.263
      8     1.9848     1.9852     1.9850      9.291     72.000  37000.000     10.000    41.2537   -12.6220  -121.0452    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.6278    14.6405    14.6385     0.0020   295.0000     4.2277     4.262
      9     1.9899     1.9902     1.9900      9.349    156.000  37000.000     10.000    41.2537   -12.8780  -121.5580    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.6395    14.6405    14.6385     0.0020   295.0000     4.2293     4.259
     10     1.9949     1.9953     1.9950      9.272    255.000  37000.000     10.000    41.2537   -13.1348  -122.0737    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     4.6511    14.6405    14.6385     0.0020   295.0000     4.2301     4.260
