# scan = 4
# date = 9/5/2017
# time = 1:22:18 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bbt 20 34 2 
# builtin_command = scan bbt 20 34 2
# users = Paula Kelley
# local_contact = 
# scan_title = Co-Alignment on post RT 3 0 0 postion
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.193255,-0.096628,0.000000,-0.000000,0.000000,-0.058824,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_10850PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bbt
# def_y = detector
# col_headers = 
#   Pt.        bbt       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    20.0000      1.000 101994.000  13574.000      5.169    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    22.0000      1.000 103025.000  13563.000      5.165    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    24.0000      1.000 103177.000  13379.000      5.095    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    26.0000      1.000 103656.000  13389.000      5.099    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    28.0000      1.000 103030.000  13415.000      5.109    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    30.0000      1.000 103777.000  13271.000      5.054    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    32.0000      1.000 103725.000  13683.000      5.211    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8    34.0000      1.000 103613.000  13339.000      5.080    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    35.0000    30.0000    30.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
# Sum of Counts = 825997
# Center of Mass = 27.019379+/-0.042344
# Full Width Half-Maximum = 9.156302+/-0.031063
# 1:22:46 PM  9/5/2017   scan completed.
